i theta rho
1000 0.493611 0
2000 0.973977 0
3000 0.919204 0
4000 0.666569 0
5000 0.939348 0
6000 0.698948 0
7000 0.781425 0
8000 0.875743 0
9000 1.19526 0
10000 0.644288 0
11000 1.04765 0
12000 0.507021 0
13000 1.08853 0
14000 1.40455 0
15000 0.682184 0
16000 0.589388 0
17000 0.80311 0
18000 0.745707 0
19000 0.574871 0
20000 1.15613 0
21000 1.32117 0
22000 0.416017 0
23000 0.870378 0
24000 0.303116 0
25000 0.49622 0
26000 0.618486 0
27000 0.562074 0
28000 0.913203 0
29000 0.88517 0
30000 1.41703 0
31000 0.894754 0
32000 1.11923 0
33000 0.393337 0
34000 1.07383 0
35000 0.901065 0
36000 1.02336 0
37000 0.718845 0
38000 1.10421 0
39000 0.571594 0
40000 0.90185 0
41000 0.844278 0
42000 0.868175 0
43000 0.885669 0
44000 0.748393 0
45000 0.645303 0
46000 0.739821 0
47000 0.422156 0
48000 1.16378 0
49000 0.673493 0
50000 1.01897 0
