i theta rho
10000 0.824315 0
11000 0.400083 0
12000 0.676357 0
13000 0.666858 0
14000 1.0538 0
15000 0.611664 0
16000 0.982645 0
17000 1.33458 0
18000 0.807632 0
19000 1.33472 0
20000 0.789372 0
21000 0.722015 0
22000 1.0504 0
23000 0.643075 0
24000 0.711076 0
25000 0.64547 0
26000 0.555043 0
27000 1.10801 0
28000 1.01549 0
29000 0.608179 0
30000 1.18002 0
31000 0.425381 0
32000 1.44362 0
33000 0.957828 0
34000 0.485247 0
35000 1.10083 0
36000 0.544332 0
37000 0.753551 0
38000 0.45142 0
39000 0.812025 0
40000 0.642912 0
41000 1.3183 0
42000 0.646029 0
43000 0.852983 0
44000 1.27561 0
45000 0.780398 0
46000 1.04927 0
47000 0.627575 0
48000 1.06233 0
49000 0.790541 0
50000 0.819204 0
