i theta rho
1000 0.00476222 0.0001939
2000 0.01179 0.000599904
3000 0.0478789 0.00061368
4000 0.167959 0.000472331
5000 0.212871 0.0013373
6000 0.0930889 0.000188094
7000 0.0312303 0.000310825
8000 0.0148182 0.000273051
9000 0.00296894 0.000590813
10000 0.0451706 0.000378535
11000 0.315007 0.00028469
12000 0.0163553 0.000785285
13000 0.183657 0.00028795
14000 0.191883 0.000630913
15000 0.00783502 0.00082896
16000 0.000119074 0.000156617
17000 0.00760657 0.000524005
18000 0.0382823 0.000310155
19000 0.0802345 0.00035385
20000 0.0527906 0.000702233
21000 0.0475241 0.00130504
22000 0.161508 0.000413072
23000 0.0318689 0.00061852
24000 0.0857551 0.000205542
25000 0.0375096 0.000319706
26000 0.0590254 0.000249515
27000 0.026476 0.000384262
28000 0.149052 0.000578188
29000 0.0250904 0.000235914
30000 0.0161591 0.000259289
31000 0.0572899 0.000399163
32000 0.0199901 0.000108574
33000 0.133805 0.000455228
34000 0.0268798 0.00040363
35000 0.0307807 0.000284678
36000 0.0156737 0.000470059
37000 0.0449102 0.000530186
38000 0.0229326 0.000448687
39000 0.028787 0.00114915
40000 0.0241758 0.000282069
41000 0.0452427 0.000435715
42000 0.0204456 0.000350777
43000 0.145507 0.000486308
44000 0.0424716 0.000503156
45000 0.394973 0.00123311
46000 0.106816 0.000809142
47000 0.127485 0.000479582
48000 0.0387346 0.000385106
49000 0.134389 0.000855168
50000 0.113704 0.000542356
51000 0.0572468 0.000695059
52000 0.169323 0.000323176
53000 0.178467 0.00050136
54000 0.0943709 0.00085875
55000 0.377059 0.000758455
56000 0.103669 0.000479471
57000 0.0847824 0.00160056
58000 0.0319056 0.000426522
59000 0.105794 0.000372529
60000 0.157289 0.000478689
61000 0.0226907 0.00131301
62000 0.0414658 0.000445399
63000 0.00853258 0.000194182
64000 0.142098 0.000612233
65000 0.0172797 0.000717728
66000 0.120819 0.000819866
67000 0.138784 0.000717564
68000 0.0185964 0.00177488
69000 0.130279 0.000581777
70000 0.0391072 0.000540167
71000 0.172471 0.00130275
72000 0.177437 0.000502778
73000 0.0226561 0.00103238
74000 0.0557212 0.00118648
75000 0.0956904 0.000463978
76000 0.0213887 0.000689128
77000 0.00784393 0.000693535
78000 0.103552 0.000918971
79000 0.116651 0.000474546
80000 0.0558382 0.00119158
81000 0.0804603 0.000714505
82000 0.00670237 0.000634004
83000 0.335316 0.000382554
84000 0.0537451 0.000116275
85000 0.112226 0.000509252
86000 0.0504635 0.000474872
87000 0.26207 0.000133865
88000 0.120731 0.000366629
89000 0.150158 0.000462579
90000 0.00723749 0.000639601
91000 0.287331 0.000754749
92000 0.155054 0.000835382
93000 0.0381223 0.000624771
94000 0.0346195 0.000563369
95000 0.306766 0.00046736
96000 0.174352 0.000501186
97000 0.00484354 0.000103761
98000 0.0194267 0.000414503
99000 0.210557 0.000442259
100000 0.0178859 0.000670977
