i theta rho
10000 0.00706969 0.000219736
11000 0.135107 0.000189962
12000 0.234516 0.000533189
13000 0.0997153 0.000592333
14000 0.0171424 0.000407366
15000 0.00522009 0.000744472
16000 0.0297145 0.00037121
17000 0.0146708 0.000589527
18000 0.0143199 0.000624295
19000 0.0156597 0.000338275
20000 0.0168922 0.000628264
21000 0.161352 0.000450455
22000 0.0339514 0.000571323
23000 0.028282 0.000350932
24000 0.0328758 0.000445786
25000 0.0587625 0.000616855
26000 0.0505309 0.000631956
27000 0.113687 0.000567038
28000 0.0140941 0.000198615
29000 0.0531029 0.000129765
30000 0.0373846 0.000270302
31000 0.0528864 0.000574487
32000 0.242895 0.000638125
33000 0.0856271 0.00177294
34000 0.0379149 0.000485627
35000 0.150104 0.00042563
36000 0.0488928 0.000410335
37000 0.0791634 0.00021265
38000 0.0579266 0.000621227
39000 0.128685 0.000862139
40000 0.0499294 0.0002909
41000 0.0732974 0.000881582
42000 0.0332525 0.000218325
43000 0.0454142 0.000209921
44000 0.0124615 0.000458953
45000 0.393596 0.000229255
46000 0.0176063 0.000548146
47000 0.286777 0.000481156
48000 0.012755 0.000804949
49000 0.0396907 0.000507324
50000 0.249656 0.000550633
