i theta rho
10000 0.113246 0.000520971
11000 0.0522605 0.000276361
12000 0.00835183 0.000282267
13000 0.188765 0.000586392
14000 0.0512198 0.000432671
15000 0.00377772 0.000480901
16000 0.0131686 0.000228485
17000 0.210963 0.000660872
18000 0.141775 0.000668468
19000 0.0573049 0.000436106
20000 0.17928 0.000471493
21000 0.279964 0.000499631
22000 0.140176 0.000324992
23000 0.106473 0.000312415
24000 0.00143737 0.000439249
25000 0.0376052 0.000195871
26000 0.10491 0.000379518
27000 0.0705181 0.000290386
28000 0.381713 0.000205574
29000 0.0923585 0.000191079
30000 0.0953435 0.000265107
31000 0.136821 0.000274514
32000 0.17912 0.000289335
33000 0.0546315 0.000223977
34000 0.0138762 0.000214728
35000 0.0429668 0.000470264
36000 0.000264912 0.000267742
37000 0.00320143 0.000181723
38000 0.00651908 0.000455193
39000 0.0146529 0.000458568
40000 0.0491621 0.000777497
41000 0.205398 0.000595367
42000 0.0344904 0.000364864
43000 0.0783133 0.00023466
44000 0.036273 0.000393774
45000 0.136291 0.000340706
46000 0.0779681 7.73285e-05
47000 0.0160626 0.000401408
48000 0.0407991 0.00029127
49000 0.0648034 0.000459504
50000 0.0201589 0.000350153
51000 0.304384 0.000257409
52000 0.0334268 0.000380279
53000 0.0673566 0.000289672
54000 0.0303822 0.00038069
55000 0.0957826 0.000488187
56000 0.10748 0.000204574
57000 0.0185102 0.000426498
58000 0.0170551 0.00168706
59000 0.422337 0.00176307
60000 0.00214753 0.000215117
61000 0.000743906 0.000719936
62000 0.126499 0.000265837
63000 0.12557 0.000184177
64000 0.0631829 0.000344462
65000 0.0799277 0.000304268
66000 0.0851221 0.000280384
67000 0.230782 0.000503864
68000 0.0879449 0.000437659
69000 0.0281891 0.000582241
70000 0.00755939 0.000265174
71000 0.0085908 0.000443968
72000 0.144651 0.000234068
73000 0.0664513 0.000383091
74000 0.0540895 0.000459529
75000 0.051421 0.00026379
76000 0.0789986 0.000317299
77000 0.0290409 0.000794396
78000 0.582654 0.000516478
79000 0.0319171 0.0008402
80000 0.0924385 0.000640535
81000 0.0368145 0.000331104
82000 0.101968 0.000396356
83000 0.155781 0.000507815
84000 0.285582 0.000342608
85000 0.0070949 0.00022519
86000 0.00200625 0.000419765
87000 0.149282 0.000545726
88000 0.166317 0.000367978
89000 0.026142 0.000485601
90000 0.0366327 0.000419328
91000 0.019256 0.00073791
92000 0.0461707 0.000647442
93000 0.0671846 0.0016746
94000 0.173627 0.00035156
95000 0.0447386 0.000587007
96000 0.116672 0.000437199
97000 0.162159 0.000463145
98000 0.0947545 0.000396549
99000 0.0259926 0.000618047
100000 0.0218524 0.000279135
